State,City,Category,Alcohol,Hotel Name,Address,Total Rooms
Delhi,New Delhi,1 Star,Without Alcohol,Hotel LA (A unit of L A Hotels And Retreats Pvt. Ltd.),"plot no A-1, Community Centre, Road No 43, Mangolpuri Industrial Area Phase - 2, Pitampura New Delhi",35
Gujarat,Adalaj,1 Star,Without Alcohol,"Amba Suites, Unit of Amba Township Private Limited","Amba Business Park, Shivam â€“ II, Sub-Plot No. M1, Block No. 477 & 478",64
Gujarat,Ahmedabad,1 Star,Without Alcohol,Hotel Pragati The Grand (A Unit of Pragati The Grand Residency),"SP-2,FP 2342,PAIKI, NR ZYDUS CADILA HOSPITAL,HEBATPUR ROAD,THALTEJ Ahmedabad",45
Gujarat,Ahmedabad,1 Star,Without Alcohol,Hotel Rezaas,"375-1, Sheetal Baug, Nr. Girish Cold Drink, Off C. G. Road, Mithakhali, Ellisbridge, Ahmedabad-380006",38
Gujarat,Anand,1 Star,Without Alcohol,HOTEL ARIZONA INN,"OPP. S R PARK, ANAND- SOJITRA ROAD, ANAND- 388001",28
Gujarat,Bhavnagar,1 Star,Without Alcohol,Blackbuck Safari Lodge,"Near Narmada Canal, Velavadar- Ayodhyapuram Road, Village-Rajgadh, Taluka- District-Bhavnagar",18
Gujarat,Gandhinagar,1 Star,Without Alcohol,7 Wonders,"Ugati Corporate Park, Opp. Pratik Mall, Kudasan - Por Road, Kudasan",19
Gujarat,Gandhinagar,1 Star,Without Alcohol,Jinanssh Hotels,"White House, Near Vijay Petrol Pump, Opp. Sachivalaya, Sector 11",58
Gujarat,Morvi,1 Star,Without Alcohol,Avadh Fun Hub,"Revenue Survey No. 609 Paiki 2, Opp. Dhartidhan Hotel, Rajkot Morvi Highway, Nr. Lajai Chowkdi",12
Gujarat,Rajkot,1 Star,Without Alcohol,The Pinevinta Hotel,"Near Bombay Petrol Pump, Gondal Road Rajkot",25
Gujarat,Surat,1 Star,Without Alcohol,"GEN X, SURAT (A UNIT OF KADODARA HOTELS)","415, 4TH FLOOR, CHHATRALA CITY CENTER, NATIONAL HIGHWAY -08, NEAR KADODARA CHAR RASTA, AT & POST- UMBHEL, TAL- KAMREJ, SURAT-394325 Surat Surat Surat",49
Gujarat,Vadodara,1 Star,Without Alcohol,HOTEL APPLE GRAND ,SURVEY NO 564 AND 565 N H 08 VILLAGE - TARASALI VADODRA BY PASS,42
Gujarat,Vadodara,1 Star,Without Alcohol,VADPADRAKA HOTEL & RESORT,"VADPADRAKA HOTEL & RESORT, SURVEY NO 58/B/ PAIKI, BETWEEN SUMANDEEP AND PARUL UNIVERSITY, OPPOSITE VNS HOSTEL AT DATTAPURA, P.O. LIMDA 391760, GUJARAT",18
Gujarat,Veraval,1 Star,Without Alcohol,The Divine Water World,"Junagadh Somnath Highway, Near Dari Toll Plaza, Opp. Over Bridge, Village Dari",23
Madhya Pradesh,Dhar,1 Star,Without Alcohol,HOTEL JAHAJMAHAL,"MANDU, MADHYA PRADESH",25
Maharashtra,Lonavala,1 Star,Without Alcohol,HOTEL MANIK MOTI,"GAT NO.164,KURAVANDE VILLAGE, INS SHIVAJI ROAD, LONAVLA , TAL-MAVAL,DIST-PUNE.",19
Andaman And Nicobar,Port Blair*,2 Star,Without Alcohol,HOTEL SHREESH,"LINK ROAD, GOAL GHAR, PORT BLAIR, ANDAMAN & NICOBAR ISLAND Port Blair*",38
Assam,Dibrugarh,2 Star,Without Alcohol,COMFORT HOTEL,"ROTARY ROAD, DIBRUGARH, ASSAM-786001.",26
Assam,Dibrugarh,2 Star,Without Alcohol,Hotel Sanjivani Heritage,"Nirmali Gaon, Opposite City College, PO: C R Building",28
Assam,Guwahati,2 Star,Without Alcohol,HOTEL NEZONE ( A UNIT OF NEZONE GLASS PVT. LTD),"N.H 37, GARCHUK, NEAR DY-365 NEWS CHANNEL. GUWAHATI- 781035",28
Gujarat,Dwarka,2 Star,Without Alcohol,Cygnett Inn Dwarka (Unit of Om Enterprise),Near Sai Baba Mandir,48
Gujarat,Gandhidham,2 Star,Without Alcohol,RAJVI HOTELS,"SURVEY NO.12940,NEAR RAJVI RESORT,GALPADAR,GANDHIDHAM,KUTCH-370210",40
Gujarat,Gandhidham,2 Star,Without Alcohol,The Neemaya Hotel (A Unit of Hotel Natraj),"Plot No.50, Sector 9, Opp. S T Bus Stand Gandhidham",51
Gujarat,Gandhinagar,2 Star,Without Alcohol,Hotel The Hillock (A unit of HOTEL HILLOCK PRIVATE LIMITED),"HOTEL HILLOCK, S P RING ROAD BETWEEN VAISJHNODEVI CIRCLE & ZUNDAL CIRCLE, ZUNDAL Gandhinagar",49
Gujarat,Jamnagar,2 Star,Without Alcohol,"Raaj Svasti Inn, Unit of Raaj Enventure Private Limited","Plot No. 2 & 3, R.S.No.64-1, Near A J Engineering, Jamnagar - Khambhaliya Road, Village Sapar",48
Gujarat,Kevadiya,2 Star,Without Alcohol,BRG BUDGET STAY( A unit of Anay Associates),"BRG BUDGET STAY,NR AAROGYA VAN,BHUMALIYA ROAD,KEVADIA COLONY,DIST:NARMADA,GUJARAT,INDIA",139
Gujarat,Morabi,2 Star,Without Alcohol,"Club 36, Unit of Vrunda Entertainment LLP","Rajkot - Morbi Highway, Behind Jog Ashram, Lajai",10
Gujarat,Morvi,2 Star,Without Alcohol,Shiv Hotel,"Opp. Shiv Petroleum, Morbi - Halvad Highway, Nichi Mandal",21
Gujarat,Navsari,2 Star,Without Alcohol,HARE KRISHNA HOTEL,"Block no.568-2,Block no.-573,Village-Padgha,national highway no.-08,nr.Veshma Chokdi,Navsari-396445,Gujarat",15
Gujarat,Porbandar,2 Star,Without Alcohol,HOTEL BALAJI PALACE,3 WADI POT MG ROAD KAMALA BAUG porbandar 360575,20
Gujarat,Saurashtra,2 Star,Without Alcohol,Rann Riders,"Sh 18, Surendranagar, Dasada",29
Gujarat,Vadodara,2 Star,Without Alcohol,EFFOTEL BY SAYAJI,"EFFOTEL BY SAYAJI, OPPOSITE RAJSHREE CENTER, NEAR KALAGHODA CIRCLE,SAYAJIGUNJ, VADODARA - 390 005",83
Himachal Pradesh,Manali,2 Star,Without Alcohol,HOTEL VALLEY OF GODS,"VILLAGE & P.O VASHISHT. TEHSIL, MANALI DISTT. KULLU (H.P)",15
Kerala,Thiruvananthapuram,2 Star,Without Alcohol,Hotel Marine Palace ,"Beach Road , Hawah Beach, Kovalam P O , Thiruvananthapuram Dist , Kerala , Pin 695527",20
Kerala,Thiruvananthapuram,2 Star,Without Alcohol,JEEVAN AYURVEDIC BEACH RESORT,"LIGHT HOUSE BEACH, KOVALAM, VIZHINJAM.P.O",14
Maharashtra,Kollhapur,2 Star,Without Alcohol,Hotel Vrishali Executive (A unit of Vrishali Hotels Pvt. Ltd.),"39-A-2, TARABAI PARK Kollhapur",84
Maharashtra,SANTACURZ,2 Star,Without Alcohol,HOTEL AIRLINK,"75 OFF NEHRU ROAD,NEAR SANTACRUZ AIRPORT, VILE PARLE EAST , MUMBAI-400099.",39
Odisha,Sambalpur,2 Star,Without Alcohol,Welcome Spa and Resort,"At-Po- Majhilali, PS- Sasan, Sambalpur",41
Rajasthan,Alwar,2 Star,Without Alcohol,SPARROW INN (A Unit of Alwar Hospitality Pvt. Ltd.),"MANU MARG, ALWAR Alwar",19
Andhra Pradesh,East Godavari,3 Star,Without Alcohol,HOTEL SHELTON RAJAMAHENDRI,"87-1-19B, AYYAPPA NAGAR, NEAR APSRTC COMPLEX ROAD, RAJAHMUNDRY ",97
Andhra Pradesh,Kakinada,3 Star,Without Alcohol,Royal Park(Sri Adilakshmi Property Developers Pvt. Ltd.),"Royal Park,(Sri Adilakshmi Property Developers Pvt. Ltd.),D.No : 19-1-107, Kosurivari Street, Kakinada-533001 ,East Godavari, Andhra Pradesh.",84
Andhra Pradesh,Kurnool,3 Star,Without Alcohol,Triguna Clarks Inn,"Adjacent to bus stand, Kallur Road",49
